('http://movie.mtime.com/208284/', '亲爱的')
('http://movie.mtime.com/211745/', '重返20岁')
('http://movie.mtime.com/164722/', '不二神探')
('http://movie.mtime.com/182126/', '一夜惊喜')
('http://movie.mtime.com/156696/', '消失的子弹')
('http://movie.mtime.com/29803/', '霍元甲')
('http://movie.mtime.com/136644/', '鸿门宴传奇')
('http://movie.mtime.com/175142/', '全民目击')
('http://movie.mtime.com/203613/', '战狼')
('http://movie.mtime.com/48359/', '爱情呼叫转移')
('http://movie.mtime.com/105683/', '七十二家租客')
('http://movie.mtime.com/208914/', '九层妖塔')
('http://movie.mtime.com/110317/', '一万年以后')
('http://movie.mtime.com/129684/', '将爱情进行到底')
('http://movie.mtime.com/15701/', '十面埋伏')
('http://movie.mtime.com/37947/', '夜宴')
('http://movie.mtime.com/190450/', '警察故事2013')
('http://movie.mtime.com/87929/', '爱呼2：爱情左右')
('http://movie.mtime.com/153307/', '长城')
('http://movie.mtime.com/98283/', '麦兜响当当')
('http://movie.mtime.com/112198/', '新少林寺')
('http://movie.mtime.com/218854/', '神探驾到')
('http://movie.mtime.com/11719/', '少林足球')
('http://movie.mtime.com/203725/', '同桌的你')
('http://movie.mtime.com/126597/', '大笑江湖')
('http://movie.mtime.com/199595/', '归来')
('http://movie.mtime.com/147831/', '黄金大劫案')
('http://movie.mtime.com/228345/', '湄公河行动')
('http://movie.mtime.com/12143/', '无间道Ⅱ')
('http://movie.mtime.com/177861/', '功夫熊猫3')
('http://movie.mtime.com/240425/', '红海行动')
('http://movie.mtime.com/165359/', '碟中谍5：神秘国度')
('http://movie.mtime.com/210239/', '匆匆那年')
('http://movie.mtime.com/51946/', '三国之见龙卸甲')
('http://movie.mtime.com/201727/', '风暴')
('http://movie.mtime.com/112443/', '狼图腾')
('http://movie.mtime.com/10895/', '活着')
('http://movie.mtime.com/193383/', '分手合约')
('http://movie.mtime.com/108171/', '精武风云·陈真')
('http://movie.mtime.com/89003/', '苏乞儿')
('http://movie.mtime.com/201724/', '绣春刀')
('http://movie.mtime.com/30444/', '情癫大圣')
('http://movie.mtime.com/164261/', '厨子戏子痞子')
('http://movie.mtime.com/132427/', '大魔术师')
('http://movie.mtime.com/135022/', '大鱼海棠')
('http://movie.mtime.com/16608/', '新警察故事')
('http://movie.mtime.com/12383/', '阳光灿烂的日子')
('http://movie.mtime.com/220627/', '唐人街探案')
('http://movie.mtime.com/160980/', '特殊身份')
('http://movie.mtime.com/10717/', '鬼子来了')
